f1,auc,precision,recall,accuracy,dataset,WL,n,id
0.9473684210526316,0.9874308901031394,0.9836065573770492,0.9137055837563453,0.9757575757575756,A1Benchmark/real_17.csv,11,3,0
0.9509043927648578,0.9913430760774676,0.9684210526315792,0.934010152284264,0.9769696969696968,A1Benchmark/real_17.csv,11,3,1
0.9468354430379748,0.9883927705389765,0.9444444444444444,0.949238578680203,0.9745454545454544,A1Benchmark/real_17.csv,11,3,2
0.9489795918367347,0.9877622942869152,0.953846153846154,0.9441624365482234,0.9757575757575756,A1Benchmark/real_17.csv,11,3,3
0.9501312335958004,0.9821688383070905,0.9836956521739132,0.9187817258883249,0.9769696969696968,A1Benchmark/real_17.csv,11,3,4
0.9509043927648578,0.9897426363606971,0.9684210526315792,0.934010152284264,0.9769696969696968,A1Benchmark/real_17.csv,11,5,0
0.9509043927648578,0.9812069578712536,0.9684210526315792,0.934010152284264,0.9769696969696968,A1Benchmark/real_17.csv,11,5,1
0.9476439790575916,0.9813120372465972,0.9783783783783784,0.9187817258883249,0.9757575757575756,A1Benchmark/real_17.csv,11,5,2
0.9509043927648578,0.9903084483817776,0.9684210526315792,0.934010152284264,0.9769696969696968,A1Benchmark/real_17.csv,11,5,3
0.9509043927648578,0.9938164829124772,0.9684210526315792,0.934010152284264,0.9769696969696968,A1Benchmark/real_17.csv,11,5,4
0.9473684210526316,0.9853307895685616,0.9611650485436892,0.9339622641509434,0.9738095238095238,A1Benchmark/real_17.csv,14,2,0
0.951923076923077,0.9933451508232184,0.9705882352941176,0.9339622641509434,0.9761904761904762,A1Benchmark/real_17.csv,14,2,1
0.950354609929078,0.9884779473620958,0.95260663507109,0.9481132075471698,0.975,A1Benchmark/real_17.csv,14,2,2
0.95260663507109,0.9898900372551376,0.9571428571428572,0.9481132075471698,0.9761904761904762,A1Benchmark/real_17.csv,14,2,3
0.951923076923077,0.9885831029924288,0.9705882352941176,0.9339622641509434,0.9761904761904762,A1Benchmark/real_17.csv,14,2,4
0.961904761904762,0.9891990145415216,0.9711538461538459,0.9528301886792452,0.9809523809523808,A1Benchmark/real_17.csv,14,3,0
0.9550827423167848,0.9818306093017666,0.957345971563981,0.9528301886792452,0.9773809523809524,A1Benchmark/real_17.csv,14,3,1
0.9594272076372315,0.9968378199735608,0.9710144927536232,0.9481132075471698,0.9797619047619048,A1Benchmark/real_17.csv,14,3,2
0.961904761904762,0.9952454632856628,0.971153846153846,0.9528301886792452,0.9809523809523808,A1Benchmark/real_17.csv,14,3,3
0.9544364508393284,0.9884554140127388,0.9707317073170731,0.9386792452830188,0.9773809523809524,A1Benchmark/real_17.csv,14,3,4
0.951923076923077,0.9779173176300924,0.9705882352941176,0.9339622641509434,0.9761904761904762,A1Benchmark/real_17.csv,14,5,0
0.951923076923077,0.9843318110803988,0.9705882352941176,0.9339622641509434,0.9761904761904762,A1Benchmark/real_17.csv,14,5,1
0.949640287769784,0.9718107799543324,0.9658536585365852,0.9339622641509434,0.975,A1Benchmark/real_17.csv,14,5,2
0.951923076923077,0.9752658935224132,0.9705882352941176,0.9339622641509434,0.9761904761904762,A1Benchmark/real_17.csv,14,5,3
0.9473684210526316,0.9704362456435524,0.9611650485436892,0.9339622641509434,0.9738095238095238,A1Benchmark/real_17.csv,14,5,4
0.9287469287469288,0.9861970235178832,0.949748743718593,0.9086538461538459,0.9653110047846892,A1Benchmark/real_19.csv,11,2,0
0.932367149758454,0.9880267025967664,0.9368932038834952,0.9278846153846154,0.9665071770334928,A1Benchmark/real_19.csv,11,2,1
0.925233644859813,0.9822620651641352,0.9,0.9519230769230768,0.9617224880382776,A1Benchmark/real_19.csv,11,2,2
0.9355608591885444,0.9868247795198432,0.9289099526066352,0.9423076923076924,0.9677033492822966,A1Benchmark/real_19.csv,11,2,3
0.925233644859813,0.9858065899069084,0.9,0.9519230769230768,0.9617224880382776,A1Benchmark/real_19.csv,11,2,4
0.9282051282051282,0.9858142843286236,0.9378238341968912,0.9187817258883249,0.966060606060606,A1Benchmark/real_19.csv,11,3,0
0.9276807980049876,0.9846584111998448,0.9117647058823528,0.9441624365482234,0.9648484848484848,A1Benchmark/real_19.csv,11,3,1
0.9282051282051282,0.9861133563969092,0.9378238341968912,0.9187817258883249,0.966060606060606,A1Benchmark/real_19.csv,11,3,2
0.9309462915601022,0.986153771541272,0.9381443298969072,0.9238578680203046,0.9672727272727272,A1Benchmark/real_19.csv,11,3,3
0.9265822784810126,0.9811099615247824,0.9242424242424242,0.9289340101522844,0.9648484848484848,A1Benchmark/real_19.csv,11,3,4
0.9330024813895782,0.9853939668272496,0.912621359223301,0.9543147208121828,0.9672727272727272,A1Benchmark/real_19.csv,11,5,0
0.9276807980049876,0.9862022697145076,0.9117647058823528,0.9441624365482234,0.9648484848484848,A1Benchmark/real_19.csv,11,5,1
0.935,0.9841249312942548,0.9211822660098522,0.949238578680203,0.9684848484848484,A1Benchmark/real_19.csv,11,5,2
0.9276807980049876,0.984480584564648,0.9117647058823528,0.9441624365482234,0.9648484848484848,A1Benchmark/real_19.csv,11,5,3
0.9296482412060302,0.9852242232209252,0.9203980099502488,0.9390862944162436,0.966060606060606,A1Benchmark/real_19.csv,11,5,4
0.9351851851851852,0.9864123903376998,0.9181818181818182,0.9528301886792452,0.9666666666666668,A1Benchmark/real_19.csv,28,2,0
0.9327146171693736,0.9868255017425792,0.9178082191780822,0.9481132075471698,0.9654761904761904,A1Benchmark/real_19.csv,28,2,1
0.9395348837209304,0.9817479870207908,0.9266055045871558,0.9528301886792452,0.9690476190476188,A1Benchmark/real_19.csv,28,2,2
0.9351851851851852,0.9861795457276772,0.9181818181818182,0.9528301886792452,0.9666666666666668,A1Benchmark/real_19.csv,28,2,3
0.9327146171693736,0.9856087008772983,0.9178082191780822,0.9481132075471698,0.9654761904761904,A1Benchmark/real_19.csv,28,2,4
0.9327146171693736,0.9857664343227978,0.9178082191780822,0.9481132075471698,0.9654761904761904,A1Benchmark/real_19.csv,28,3,0
0.9327146171693736,0.9867954572767696,0.9178082191780822,0.9481132075471698,0.9654761904761904,A1Benchmark/real_19.csv,28,3,1
0.9339622641509434,0.9871710130993872,0.9339622641509434,0.9339622641509434,0.9666666666666668,A1Benchmark/real_19.csv,28,3,2
0.9327146171693736,0.9857814565557024,0.9178082191780822,0.9481132075471698,0.9654761904761904,A1Benchmark/real_19.csv,28,3,3
0.9345794392523364,0.9852031005888716,0.9259259259259259,0.9433962264150944,0.9666666666666668,A1Benchmark/real_19.csv,28,3,4
0.928735632183908,0.9703387376954256,0.9395348837209302,0.9181818181818182,0.9634433962264152,A1Benchmark/real_19.csv,8,2,0
0.9241379310344828,0.98339606253619,0.9348837209302324,0.9136363636363636,0.9610849056603774,A1Benchmark/real_19.csv,8,2,1
